8.48087		0   0	0.0211008			
8.53749		0   0	0.0241858			
8.56961		0   0	0.0273611			
8.60194		0   0	0.0292665			
8.66733		0   0	0.0285422			
8.69216		0   0	0.0263658			
8.69250		0   0	0.0242796			
8.70913		0   0	0.0223752			
8.72594		0   0	0.0193823			
8.75082		0   0	0.0169338			
8.76777		0   0	0.0130339			
8.76814		0   0	0.0107664			
8.78477		0   0	0.00886194			
8.84202		0   0	0.00804676			
8.84231		0   0	0.00632341			
8.86721		0   0	0.00369351			
8.85928		0   0	0.00233280			
8.90840		0   0	0.00133606			
8.98205		0   0	-2.30047e-05			
0.0147360	0   0		-0.000294456			
0.0636340	0   0		6.93429e-05			
0.0880535	0   0		0.000432648			
0.120692	0   0		0.000433306			
0.161253	0   0		0.00188538			
0.186027	0   0		7.18099e-05			
0.235117	0   0		-0.000743530			
0.267933	0   0		-0.00183131			
0.325109	0   0		-0.00219297			
0.414790	0   0		-0.00173764			
0.496297	0   0		-0.00119178			
0.610471	0   0		-0.000826667			
0.732835	0   0		-0.000642794			
0.830764	0   0		-0.000731524			
0.920533	0   0		-0.000820418			
1.01848		0   0	-0.000999850			
1.14093		0   0	-0.00136019			
1.21440		0   0	-0.00154012			
1.32053		0   0	-0.00190079			
1.42660		0   0	-0.00189866			
1.56528		0   0	-0.00171445			
1.67949		0   0	-0.00153075			
1.80185		0   0	-0.00134687			
1.89161		0   0	-0.00134506			
2.00594		0   0	-0.00197768			
2.13659		0   0	-0.00251927			
2.21824		0   0	-0.00288044			
2.34884		0   0	-0.00314991			
2.45496		0   0	-0.00341988			
2.55287		0   0	-0.00341791			
2.69160		0   0	-0.00350582			
2.80579		0   0	-0.00323141			
2.93632		0   0	-0.00313807			
3.05867		0   0	-0.00286350			
3.17291		0   0	-0.00286119			
3.28707		0   0	-0.00240538			
3.42575		0   0	-0.00222117			
3.54810		0   0	-0.00194660			
3.69491		0   0	-0.00158083			
3.86622		0   0	-0.00130526			
4.04570		0   0	-0.00112024			
4.23329		0   0	-0.000662941			
4.44541		0   0	-0.000477260			
4.64115		0   0	7.09054e-05			
4.87776		0   0	0.000166378			
5.07353		0   0	0.000533137			
5.25298		0   0	0.000899567			
5.43249		0   0	0.000903185			
5.57938		0   0	0.000815443			
5.74257		0   0	0.000818732			
5.92208		0   0	0.000822350			
6.08523		0   0	0.00109775			
6.30553		0   0	0.00110219			
6.51770		0   0	0.00101576			
6.71354		0   0	0.000929006			
6.84417		0   0	0.000478123			
7.00737		0   0	0.000390709			
7.12168		0   0	-6.05029e-05			
7.25222		0   0	3.28315e-05			
7.38267		0   0	0.000670384			
7.54571		0   0	0.00158070			
7.71687		0   0	0.00276329			
7.86352		0   0	0.00412680			
7.99386		0   0	0.00539927			
8.09158		0   0	0.00658038			
8.20551		0   0	0.00848745			
8.27865		0   0	0.0103030			
8.34352		0   0	0.0127533			
8.39204		0   0	0.0154754			
8.41620		0   0	0.0173806			
8.46476		0   0	0.0198306			
8.48087		0   0	0.0211008			
8.53749		0   0	0.0241858			
8.56961		0   0	0.0273611			
8.60194		0   0	0.0292665			
8.66733		0   0	0.0285422			
8.69216		0   0	0.0263658			
8.69250		0   0	0.0242796			
8.70913		0   0	0.0223752			
8.72594		0   0	0.0193823			
8.75082		0   0	0.0169338			
8.76777		0   0	0.0130339			
8.76814		0   0	0.0107664			
8.78477		0   0	0.00886194			
8.84202		0   0	0.00804676			
8.84231		0   0	0.00632341			
8.86721		0   0	0.00369351			
8.85928		0   0	0.00233280			
8.90840		0   0	0.00133606			
8.98205		0   0	-2.30047e-05			
